baseMean	log2FoldChange	lfcSE	pvalue	padj
gene-YLR186W	1341.44739896158	5.22281005070227	0.500005783129211	1.17909533531776e-26	6.71168538928934e-25
gene-YNL117W	7970.30294657321	-4.70593069778902	0.451256258375936	1.40562758937291e-26	7.92422553508977e-25
gene-YDL167C	522.729952575841	4.42303440616415	0.424596951843853	1.56210253893248e-26	8.7224830340582e-25
gene-YBR169C	4156.74903239999	-4.08705405150664	0.392509094371602	1.90328404733092e-26	1.05273154429257e-24
gene-YHR169W	483.285033632231	4.38442471024112	0.422207760618687	2.22601824144144e-26	1.21973317285712e-24
gene-YKR024C	642.107779905203	4.75733517251645	0.458823983566931	2.26644302726529e-26	1.23038476563485e-24
gene-YCL036W	482.791979618805	4.77149431383139	0.460369539091071	3.05889643710779e-26	1.64534952392321e-24
gene-YCL040W	5530.67077683835	-3.97073130311518	0.383850386709639	4.1757919199643e-26	2.22569709334097e-24
gene-YPR060C	423.663375026807	5.03120161244657	0.486833626765435	4.38516547370328e-26	2.31623650201102e-24
gene-YNL124W	796.228115482899	4.98181072797942	0.48378406799629	5.73087106946493e-26	3.00000866788151e-24
gene-YLR363W-A	425.910998495748	4.5773242047129	0.44549133763405	6.20907846327114e-26	3.22157761328838e-24
gene-YJR073C	5527.0176104756	-3.95111520554032	0.38332633807091	6.29092775221391e-26	3.23541310624826e-24
gene-YDR321W	470.506404506551	4.66415745241951	0.454093565262466	8.05613380957822e-26	4.1072271761354e-24
gene-YML080W	289.83901983407	4.9524065572428	0.483420867927369	1.02013833867664e-25	5.15609575832857e-24
gene-YPL231W	4937.86482966347	-4.03315515557872	0.395236919744062	1.38214948970318e-25	6.92610466506817e-24
gene-YBR195C	207.162207701619	5.12732666151079	0.502971921669532	1.54208751763294e-25	7.66208399651012e-24
gene-YDL060W	1257.16713969039	4.04926703613999	0.396843430474284	1.61742380537861e-25	7.96887039574353e-24
gene-YJR124C	303.058813980015	5.2024522534969	0.509618382173087	1.76040061312659e-25	8.60102399563435e-24
gene-YLL012W	333.129102409812	4.53962149284093	0.445902852589383	1.97286916080746e-25	9.48109171296241e-24
gene-YMR186W	8439.99252975822	-3.8470029865538	0.377468755305404	1.96563249090308e-25	9.48109171296241e-24
gene-YKL068W-A	235.058096227354	5.0187702186802	0.495503144240121	2.87308637315748e-25	1.3695045045384e-23
gene-YLR333C	2602.53530201092	3.92037454808539	0.387523668604581	4.16164146204271e-25	1.96771805580293e-23
gene-YPR010C	2470.08754077261	4.41740740000966	0.437394888751512	4.38564725357437e-25	2.05704398781652e-23
gene-YBL081W	353.037505934399	4.94527865600255	0.490398303607948	5.71223168015039e-25	2.65800113815252e-23
gene-YBR034C	963.121121572088	4.40984149686121	0.43861417528835	6.50332943945908e-25	3.00228507901957e-23
gene-YPL211W	929.034036513744	4.738037035315	0.470964842400456	6.6113191811789e-25	3.02829409056655e-23
gene-YPR110C	1395.03123785123	3.99465043287455	0.396994348351656	7.0007584944081e-25	3.18181760098564e-23
gene-YNR054C	550.018127770344	4.18361082503671	0.416553899945069	8.31702529075156e-25	3.75097840612895e-23
gene-YJR097W	266.797043867053	4.73908858195974	0.474082896123779	1.09294623210067e-24	4.89156012122613e-23
gene-YLR002C	494.637933116904	4.36403403622626	0.43594794807723	1.13152606774123e-24	5.02586161755062e-23
gene-YDR299W	999.220350126956	3.93244528209636	0.393142477546395	1.30511005619955e-24	5.75327839059997e-23
gene-YEL011W	3249.21338455786	-4.34859215060492	0.437133594385993	1.58784050437285e-24	6.89656573160939e-23
gene-YNR034W-A	8245.75958782984	-3.80537721829633	0.381327648188647	1.58798631036546e-24	6.89656573160939e-23
gene-YLR051C	635.027072855074	4.0960313488149	0.411007546264292	1.76115578819188e-24	7.59239440159483e-23
gene-YNL077W	2131.49770061988	-3.8953374890447	0.391977175482035	2.25169152446221e-24	9.63625358242476e-23
gene-YDL039C	375.174946790148	4.47708868396911	0.452593400888136	2.90587558345135e-24	1.23457598157792e-22
gene-YDR222W	942.101045339977	4.13275692339302	0.416851016446458	3.02620260082551e-24	1.27644790277985e-22
gene-YPL126W	1227.62957455075	4.38646023900687	0.442873838301037	3.05680793372892e-24	1.2801474939609e-22
