gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YIR025W,190.920348144803,-2.25164519313108,0.482576801731894,-4.6658794725529,3.0729979977845e-06,1.17912220294571e-05
YOL022C,562.045196450266,1.84543473776728,0.395660238632556,4.66419052908954,3.09834217625281e-06,1.18806933808831e-05
YOR063W,18701.8582690425,2.22285750298111,0.477055383406032,4.65953761408283,3.16920482672957e-06,1.21444757510559e-05
YAR050W,72.0747447202634,-3.19895359549285,0.686702390811613,-4.65842792787137,3.18633321672634e-06,1.22021369364249e-05
YCR053W,1170.13683354173,1.85483838841216,0.398253414026636,4.65743248666314,3.20177371687597e-06,1.22532632519868e-05
YLR437C,61.2368976752445,2.69328388464419,0.57885155490416,4.6528058218486,3.27448573901028e-06,1.25233593527836e-05
YBR285W,66.8386701931788,-3.07207588172309,0.660380687155483,-4.65197717237269,3.28767480871531e-06,1.25656045655136e-05
YBR111C,560.91888248748,-1.88953133004473,0.406263094433579,-4.65100412992018,3.30322712855546e-06,1.26168212734337e-05
YGR078C,344.628605353986,2.45885226784842,0.528824135977604,4.64965968942188,3.32483170714069e-06,1.26910731113059e-05
YMR147W,250.893813336531,2.15032512077688,0.462850843094623,4.64582738231565,3.38716145615104e-06,1.29205774999438e-05
YEL046C,1309.62764929695,1.87754649938346,0.404533383413452,4.64126466780252,3.46283245137494e-06,1.32006415230242e-05
YHL039W,539.727776571722,2.0176792977055,0.43506605443859,4.63763899095533,3.52411620614833e-06,1.34255317197191e-05
YHR181W,134.299476115002,2.349587156083,0.506794257166481,4.63617557392952,3.54914534227946e-06,1.35121033388211e-05
YDR259C,104.555137128175,-2.48680155621666,0.536479874594127,-4.6354051176627,3.56239101963295e-06,1.35537304011084e-05
YML117W,768.761666152059,-1.93859945777526,0.418352321918266,-4.63389195232914,3.58854342950152e-06,1.36443775143757e-05
YDR282C,139.206356333481,-2.35189102818227,0.507872453754255,-4.63086944526487,3.64133429450249e-06,1.38361263568815e-05
YPL139C,260.94431900066,1.96412700246153,0.424210786415399,4.63007322151916,3.65536449683646e-06,1.38804417389587e-05
YMR123W,267.050270905196,2.092385746229,0.452149457444823,4.62764183784151,3.6985292270527e-06,1.40352601024013e-05
YHR007C-A,66.2389408647993,-3.12325067608589,0.675005274629645,-4.62700188202162,3.70997144243505e-06,1.40695747522618e-05
